market,category,name,strategy_id,start_date,end_date,total_contributed,ending_value_local,ending_value_usd_if_applicable,total_return_pct,money_weighted_return_or_xirr,max_drawdown
US,sector,TECH,US_SECTOR_TECH,2015-01-02,2026-04-24,122000.0,1948678.1829230161,,14.972771991172264,0.48871606693306113,-0.4661649975532749
US,sector,COMMUNICATION,US_SECTOR_COMMUNICATION,2015-01-02,2026-04-24,127000.0,511971.92648682575,,3.0312750117072893,0.23788411030868722,-0.5267176499258551
US,sector,CONSUMER_DISCRETIONARY,US_SECTOR_CONSUMER_DISCRETIONARY,2015-01-02,2026-04-24,127000.0,610529.9194390982,,3.80732220030786,0.2668843096456624,-0.6043212678125839
US,sector,CONSUMER_STAPLES,US_SECTOR_CONSUMER_STAPLES,2015-01-02,2026-04-24,132000.0,366386.9569378327,,1.7756587646805508,0.16986641729560767,-0.2423545683223226
US,sector,FINANCIALS,US_SECTOR_FINANCIALS,2015-01-02,2026-04-24,132000.0,306383.0933137728,,1.3210840402558546,0.14107917341141715,-0.35779950773899016
US,sector,HEALTHCARE,US_SECTOR_HEALTHCARE,2015-01-02,2026-04-24,132000.0,401550.95082726836,,2.042052657782336,0.18453569282298665,-0.33641163535199664
US,sector,INDUSTRIALS,US_SECTOR_INDUSTRIALS,2015-01-02,2026-04-24,132000.0,501847.93869561265,,2.801878323451611,0.22006883027663326,-0.44316742632531164
US,sector,ENERGY,US_SECTOR_ENERGY,2015-01-02,2026-04-24,132000.0,236423.27453129497,,0.791085413115871,0.09883582231567452,-0.5687120920517234
US,sector,MATERIALS,US_SECTOR_MATERIALS,2015-01-02,2026-04-24,132000.0,263495.0102352383,,0.9961743199639265,0.11659309522505447,-0.2881932682561182
US,sector,UTILITIES,US_SECTOR_UTILITIES,2015-01-02,2026-04-24,132000.0,217401.93355672908,,0.6469843451267355,0.08499188822682148,-0.36148214912829757
US,sector,REAL_ESTATE,US_SECTOR_REAL_ESTATE,2015-01-02,2026-04-24,132000.0,223880.63510688423,,0.6960654174763957,0.0898499913778622,-0.35300170719169216
CN,sector,TECH,CN_SECTOR_TECH,2015-01-05,2026-04-24,94666.66666666666,277033.6440196905,40585.06231318281,1.9264117326023649,0.19050781543211223,-0.4641723937199442
CN,sector,COMMUNICATION,CN_SECTOR_COMMUNICATION,2015-01-05,2026-04-24,67000.0,111949.75679026084,16400.491252085838,0.6708918923919529,0.11276615399573449,-0.11592108419003005
CN,sector,CONSUMER_DISCRETIONARY,CN_SECTOR_CONSUMER_DISCRETIONARY,2015-01-05,2026-04-24,114000.0,240415.2453816695,35220.51536152296,1.1089056612427148,0.12331414642142209,-0.3291317377537262
CN,sector,CONSUMER_STAPLES,CN_SECTOR_CONSUMER_STAPLES,2015-01-05,2026-04-24,114000.0,184552.1010735069,27036.638631388483,0.6188780795921658,0.08066895683321286,-0.5274896268897405
CN,sector,FINANCIALS,CN_SECTOR_FINANCIALS,2015-01-05,2026-04-24,114000.0,145619.88610407466,21333.120648524527,0.2773674219655672,0.04159149351694799,-0.4042241238535894
CN,sector,HEALTHCARE,CN_SECTOR_HEALTHCARE,2015-01-05,2026-04-24,100333.33333333333,154049.99428643825,22568.120343593262,0.5353820028548664,0.07848960961119829,-0.5609524400283481
CN,sector,INDUSTRIALS,CN_SECTOR_INDUSTRIALS,2015-01-05,2026-04-24,101333.33333333333,244222.25645066597,35778.23744617783,1.4100880570789405,0.15633162545173276,-0.2947517186966558
CN,sector,ENERGY,CN_SECTOR_ENERGY,2015-01-05,2026-04-24,89000.0,152268.38446422893,22307.11686183924,0.7108807243171791,0.09766660546954356,-0.16357219057706643
CN,sector,MATERIALS,CN_SECTOR_MATERIALS,2015-01-05,2026-04-24,114000.0,358509.58910542703,52521.18046962972,2.1448209570651495,0.18655214755569935,-0.37245042467370615
CN,sector,UTILITIES,CN_SECTOR_UTILITIES,2015-01-05,2026-04-24,89666.66666666666,142800.80479414275,20920.128966469536,0.5925740311614435,0.08793607629662463,-0.12296164655644753
CN,sector,REAL_ESTATE,CN_SECTOR_REAL_ESTATE,2015-01-05,2026-04-24,114000.0,52117.23618603806,7635.106146352685,-0.5428312615259819,0.0,-0.48032728997535507
